"","color","rank","hex"
"771","dark blue grey",771,"#1f3b4d"
"772","clay brown",772,"#b2713d"
"773","sand yellow",773,"#fce166"
"774","grapefruit",774,"#fd5956"
"775","blood orange",775,"#fe4b03"
"776","very pale blue",776,"#d6fffe"
"777","old pink",777,"#c77986"
"778","neon red",778,"#ff073a"
"779","golden rod",779,"#f9bc08"
"780","plum purple",780,"#4e0550"
"781","pale peach",781,"#ffe5ad"
"782","dark yellow green",782,"#728f02"
"783","carmine",783,"#9d0216"
"784","deep sea blue",784,"#015482"
"785","dark hot pink",785,"#d90166"
"786","warm blue",786,"#4b57db"
"787","light khaki",787,"#e6f2a2"
"788","icky green",788,"#8fae22"
"789","greenblue",789,"#23c48b"
"790","dirty purple",790,"#734a65"
"791","rich blue",791,"#021bf9"
"792","mushroom",792,"#ba9e88"
"793","flat blue",793,"#3c73a8"
"794","dark slate blue",794,"#214761"
"795","dark sage",795,"#598556"
"796","coral pink",796,"#ff6163"
"797","true green",797,"#089404"
"798","darkish purple",798,"#751973"
"799","dark taupe",799,"#7f684e"
"800","cool grey",800,"#95a3a6"
"801","canary",801,"#fdff63"
"802","booger green",802,"#96b403"
"803","muted pink",803,"#d1768f"
"804","hazel",804,"#8e7618"
"805","dark royal blue",805,"#02066f"
"806","vivid purple",806,"#9900fa"
"807","racing green",807,"#014600"
"808","leather",808,"#ac7434"
"809","green/blue",809,"#01c08d"
"810","sunflower yellow",810,"#ffda03"
"811","rich purple",811,"#720058"
"812","pale magenta",812,"#d767ad"
"813","light yellowish green",813,"#c2ff89"
"814","indigo blue",814,"#3a18b1"
"815","dark fuchsia",815,"#9d0759"
"816","yellow tan",816,"#ffe36e"
"817","wintergreen",817,"#20f986"
"818","violet pink",818,"#fb5ffc"
"819","topaz",819,"#13bbaf"
"820","seafoam blue",820,"#78d1b6"
"821","light gold",821,"#fddc5c"
"822","grey/green",822,"#86a17d"
"823","foam green",823,"#90fda9"
"824","creme",824,"#ffffb6"
"825","clear blue",825,"#247afd"
"826","ugly blue",826,"#31668a"
"827","terracota",827,"#cb6843"
"828","very dark brown",828,"#1d0200"
"829","straw",829,"#fcf679"
"830","parchment",830,"#fefcaf"
"831","orangey yellow",831,"#fdb915"
"832","greyish teal",832,"#719f91"
"833","sapphire",833,"#2138ab"
"834","nice blue",834,"#107ab0"
"835","browny orange",835,"#ca6b02"
"836","washed out green",836,"#bcf5a6"
"837","tiffany blue",837,"#7bf2da"
"838","light seafoam",838,"#a0febf"
"839","light neon green",839,"#4efd54"
"840","light bright green",840,"#53fe5c"
"841","light bluish green",841,"#76fda8"
"842","rosy pink",842,"#f6688e"
"843","peachy pink",843,"#ff9a8a"
"844","pale light green",844,"#b1fc99"
"845","old rose",845,"#c87f89"
"846","fern",846,"#63a950"
"847","dusk blue",847,"#26538d"
"848","camo",848,"#7f8f4e"
"849","burnt siena",849,"#b75203"
"850","tealish green",850,"#0cdc73"
"851","swamp",851,"#698339"
"852","sand brown",852,"#cba560"
"853","rust brown",853,"#8b3103"
"854","orangeish",854,"#fd8d49"
"855","light royal blue",855,"#3a2efe"
"856","cocoa",856,"#875f42"
"857","baby purple",857,"#ca9bf7"
"858","raw sienna",858,"#9a6200"
"859","radioactive green",859,"#2cfa1f"
"860","light pea green",860,"#c4fe82"
"861","cinnamon",861,"#ac4f06"
"862","squash",862,"#f2ab15"
"863","charcoal grey",863,"#3c4142"
"864","bright yellow green",864,"#9dff00"
"865","baby puke green",865,"#b6c406"
"866","poison green",866,"#40fd14"
"867","light lavendar",867,"#efc0fe"
"868","indian red",868,"#850e04"
"869","dark cream",869,"#fff39a"
"870","toupe",870,"#c7ac7d"
"871","butterscotch",871,"#fdb147"
"872","burple",872,"#6832e3"
"873","tan green",873,"#a9be70"
"874","sun yellow",874,"#ffdf22"
"875","pale gold",875,"#fdde6c"
"876","light light green",876,"#c8ffb0"
"877","lichen",877,"#8fb67b"
"878","green/yellow",878,"#b5ce08"
"879","darkgreen",879,"#054907"
"880","azul",880,"#1d5dec"
"881","sunny yellow",881,"#fff917"
"882","sickly yellow",882,"#d0e429"
"883","kelley green",883,"#009337"
"884","bruise",884,"#7e4071"
"885","browny green",885,"#6f6c0a"
"886","battleship grey",886,"#6b7c85"
"887","off blue",887,"#5684ae"
"888","manilla",888,"#fffa86"
"889","greenish beige",889,"#c9d179"
"890","deep brown",890,"#410200"
"891","darkish pink",891,"#da467d"
"892","custard",892,"#fffd78"
"893","ugly brown",893,"#7d7103"
"894","stormy blue",894,"#507b9c"
"895","liliac",895,"#c48efd"
"896","baby shit brown",896,"#ad900d"
"897","reddish grey",897,"#997570"
"898","powder pink",898,"#ffb2d0"
"899","eggplant purple",899,"#430541"
"900","egg shell",900,"#fffcc4"
"901","very light brown",901,"#d3b683"
"902","tea green",902,"#bdf8a3"
"903","orange pink",903,"#ff6f52"
"904","light grey green",904,"#b7e1a1"
"905","kiwi green",905,"#8ee53f"
"906","boring green",906,"#63b365"
"907","light pastel green",907,"#b2fba5"
"908","candy pink",908,"#ff63e9"
"909","purply",909,"#983fb2"
"910","purpley grey",910,"#947e94"
"911","dusty lavender",911,"#ac86a8"
"912","desert",912,"#ccad60"
"913","deep lilac",913,"#966ebd"
"914","pig pink",914,"#e78ea5"
"915","olive yellow",915,"#c2b709"
"916","light seafoam green",916,"#a7ffb5"
"917","light moss green",917,"#a6c875"
"918","lavender pink",918,"#dd85d7"
"919","deep aqua",919,"#08787f"
"920","bland",920,"#afa88b"
"921","strong pink",921,"#ff0789"
"922","green teal",922,"#0cb577"
"923","deep turquoise",923,"#017374"
"924","dark green blue",924,"#1f6357"
"925","bright sea green",925,"#05ffa6"
"926","booger",926,"#9bb53c"
"927","blue with a hint of purple",927,"#533cc6"
"928","blue blue",928,"#2242c7"
"929","windows blue",929,"#3778bf"
"930","toxic green",930,"#61de2a"
"931","strong blue",931,"#0c06f7"
"932","spruce",932,"#0a5f38"
"933","pinkish tan",933,"#d99b82"
"934","macaroni and cheese",934,"#efb435"
"935","grey teal",935,"#5e9b8a"
"936","dusty teal",936,"#4c9085"
"937","dark grass green",937,"#388004"
"938","cement",938,"#a5a391"
"939","yellowish tan",939,"#fcfc81"
"940","warm purple",940,"#952e8f"
"941","tea",941,"#65ab7c"
"942","really light blue",942,"#d4ffff"
"943","nasty green",943,"#70b23f"
"944","light eggplant",944,"#894585"
"945","fresh green",945,"#69d84f"
"946","electric lime",946,"#a8ff04"
"947","dust",947,"#b2996e"
"948","dark pastel green",948,"#56ae57"
"949","cloudy blue",949,"#acc2d9"
